,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
348,13121005700,925.0,2017.0
349,13121006400,517.0,2015.0
350,13121006400,501.0,2016.0
351,13121006400,473.0,2017.0
352,13121006300,1129.0,2015.0
353,13121006300,1160.0,2016.0
354,13121006300,1161.0,2017.0
355,13121006100,1782.0,2015.0
356,13121006100,1796.0,2016.0
357,13121006100,1774.0,2017.0
358,13121005502,1428.0,2015.0
359,13121005502,1355.0,2016.0
360,13121005502,1379.0,2017.0
361,13121005800,779.0,2015.0
362,13121005800,800.0,2016.0
363,13121005800,805.0,2017.0
364,13121006500,1791.0,2015.0
365,13121006500,1816.0,2016.0
366,13121006500,1845.0,2017.0
367,13121008602,592.0,2015.0
368,13121008602,593.0,2016.0
369,13121008602,631.0,2017.0
370,13121008800,2265.0,2015.0
371,13121008800,2301.0,2016.0
372,13121008800,2359.0,2017.0
373,13121009200,4032.0,2015.0
374,13121009200,4124.0,2016.0
375,13121009200,4133.0,2017.0
376,13121007500,2001.0,2015.0
377,13121007500,1959.0,2016.0
378,13121007500,1965.0,2017.0
379,13121008101,455.0,2015.0
380,13121008101,464.0,2016.0
381,13121008101,488.0,2017.0
382,13121006000,1716.0,2015.0
383,13121006000,1745.0,2016.0
384,13121006000,1764.0,2017.0
