,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
464,13089020700,873.0,2017.0
465,13121008902,950.0,2010.0
466,13121008902,988.0,2011.0
467,13121008902,982.0,2012.0
468,13121008902,1060.0,2013.0
469,13121008902,1107.0,2014.0
470,13121008902,1145.0,2015.0
471,13121008902,1180.0,2016.0
472,13121008902,1223.0,2017.0
473,13121009403,1059.0,2010.0
474,13121009403,1019.0,2011.0
475,13121009403,1013.0,2012.0
476,13121009403,1011.0,2013.0
477,13121009403,1005.0,2014.0
478,13121009403,1033.0,2015.0
479,13121009403,1103.0,2016.0
480,13121009403,1146.0,2017.0
481,13121009602,1484.0,2010.0
482,13121009602,1493.0,2011.0
483,13121009602,1566.0,2012.0
484,13121009602,1571.0,2013.0
485,13121009602,1688.0,2014.0
486,13121009602,1700.0,2015.0
487,13121009602,1500.0,2016.0
488,13121009602,1525.0,2017.0
489,13121009404,1266.0,2010.0
490,13121009404,1210.0,2011.0
491,13121009404,1287.0,2012.0
492,13121009404,1272.0,2013.0
493,13121009404,1359.0,2014.0
494,13121009404,1385.0,2015.0
495,13121009404,1413.0,2016.0
496,13121009404,1473.0,2017.0
497,13121009502,979.0,2010.0
498,13121009502,981.0,2011.0
499,13121009502,985.0,2012.0
500,13121009502,1027.0,2013.0
501,13121009502,1062.0,2014.0
502,13121009502,1133.0,2015.0
503,13121009502,1222.0,2016.0
504,13121009502,1396.0,2017.0
505,13121010114,952.0,2010.0
506,13121010114,922.0,2011.0
507,13121010114,968.0,2012.0
508,13121010114,906.0,2013.0
509,13121010114,922.0,2014.0
510,13121010114,962.0,2015.0
511,13121010114,1004.0,2016.0
512,13121010114,1093.0,2017.0
513,13121011800,643.0,2010.0
514,13121011800,774.0,2011.0
515,13121011800,906.0,2012.0
516,13121011800,890.0,2013.0
517,13121011800,865.0,2014.0
518,13121011800,820.0,2015.0
519,13121011800,843.0,2016.0
520,13121011800,895.0,2017.0
521,13089020600,694.0,2010.0
522,13089020600,663.0,2011.0
523,13089020600,1020.0,2012.0
524,13089020600,1032.0,2013.0
525,13089020600,1078.0,2014.0
526,13089020600,1083.0,2015.0
527,13089020600,1105.0,2016.0
528,13089020600,1099.0,2017.0
529,13089020400,1005.0,2010.0
530,13089020400,1009.0,2011.0
531,13089020400,1066.0,2012.0
532,13089020400,1020.0,2013.0
533,13089020400,890.0,2014.0
534,13089020400,897.0,2015.0
535,13089020400,952.0,2016.0
536,13089020400,934.0,2017.0
537,13089020500,902.0,2010.0
538,13089020500,946.0,2011.0
539,13089020500,960.0,2012.0
540,13089020500,948.0,2013.0
541,13089020500,902.0,2014.0
542,13089020500,950.0,2015.0
543,13089020500,803.0,2016.0
544,13089020500,898.0,2017.0
545,13089020801,1169.0,2010.0
546,13089020801,1152.0,2011.0
547,13089020801,1219.0,2012.0
548,13089020801,1250.0,2013.0
549,13089020801,1219.0,2014.0
550,13089020801,1150.0,2015.0
551,13089020801,1561.0,2016.0
552,13089020801,1582.0,2017.0
553,13089020900,778.0,2010.0
554,13089020900,898.0,2011.0
555,13089020900,940.0,2012.0
556,13089020900,916.0,2013.0
557,13089020900,936.0,2014.0
558,13089020900,978.0,2015.0
559,13089020900,1025.0,2016.0
560,13089020900,1090.0,2017.0
561,13121001002,1125.0,2010.0
562,13121001002,1050.0,2011.0
563,13121001002,1162.0,2012.0
564,13121001002,1120.0,2013.0
565,13121001002,1089.0,2014.0
566,13121001002,1130.0,2015.0
567,13121001002,1170.0,2016.0
568,13121001002,1194.0,2017.0
569,13121000700,748.0,2010.0
570,13121000700,1053.0,2011.0
571,13121000700,1228.0,2012.0
572,13121000700,1113.0,2013.0
573,13121000700,1176.0,2014.0
574,13121000700,1194.0,2015.0
575,13121000700,1141.0,2016.0
576,13121000700,1127.0,2017.0
577,13121008700,458.0,2010.0
578,13121008700,728.0,2011.0
579,13121008700,758.0,2012.0
580,13121008700,808.0,2013.0
581,13121008700,813.0,2014.0
582,13121008700,787.0,2015.0
583,13121008700,741.0,2016.0
584,13121008700,737.0,2017.0
585,13089020100,1144.0,2010.0
586,13089020100,1023.0,2011.0
587,13089020100,2001.0,2012.0
588,13089020100,2001.0,2013.0
589,13089020100,2001.0,2014.0
590,13089020100,2117.0,2015.0
591,13089020100,2170.0,2016.0
592,13089020100,2288.0,2017.0
593,13089020200,802.0,2010.0
594,13089020200,924.0,2011.0
595,13089020200,911.0,2012.0
596,13089020200,969.0,2013.0
597,13089020200,973.0,2014.0
598,13089020200,1038.0,2015.0
599,13089020200,1067.0,2016.0
600,13089020200,1071.0,2017.0
601,13089020300,995.0,2010.0
602,13089020300,1084.0,2011.0
603,13089020300,1070.0,2012.0
604,13089020300,1316.0,2013.0
605,13089020300,1236.0,2014.0
606,13089020300,1190.0,2015.0
607,13089020300,1259.0,2016.0
608,13089020300,1238.0,2017.0
609,13121006802,593.0,2010.0
610,13121006802,578.0,2011.0
611,13121006802,583.0,2012.0
612,13121006802,574.0,2013.0
613,13121006802,594.0,2014.0
614,13121006802,710.0,2015.0
615,13121006802,721.0,2016.0
616,13121006802,511.0,2017.0
617,13121006900,750.0,2010.0
618,13121006900,830.0,2011.0
619,13121006900,836.0,2012.0
620,13121006900,905.0,2013.0
621,13121006900,922.0,2014.0
622,13121006900,955.0,2015.0
623,13121006900,933.0,2016.0
624,13121006900,950.0,2017.0
625,13121007001,894.0,2010.0
626,13121007001,908.0,2011.0
627,13121007001,914.0,2012.0
628,13121007001,883.0,2013.0
629,13121007001,796.0,2014.0
630,13121007001,829.0,2015.0
631,13121007001,821.0,2016.0
632,13121007001,817.0,2017.0
633,13121007602,748.0,2010.0
634,13121007602,771.0,2011.0
635,13121007602,787.0,2012.0
636,13121007602,833.0,2013.0
637,13121007602,882.0,2014.0
638,13121007602,890.0,2015.0
639,13121007602,876.0,2016.0
640,13121007602,909.0,2017.0
641,13121007802,738.0,2010.0
642,13121007802,814.0,2011.0
643,13121007802,822.0,2012.0
644,13121007802,810.0,2013.0
645,13121007802,897.0,2014.0
646,13121007802,878.0,2015.0
647,13121007802,858.0,2016.0
648,13121007802,863.0,2017.0
649,13121002300,756.0,2010.0
650,13121002300,751.0,2011.0
651,13121002300,751.0,2012.0
652,13121002300,766.0,2013.0
653,13121002300,804.0,2014.0
654,13121002300,791.0,2015.0
655,13121002300,764.0,2016.0
656,13121002300,809.0,2017.0
657,13121002100,782.0,2010.0
658,13121002100,714.0,2011.0
659,13121002100,797.0,2012.0
660,13121002100,815.0,2013.0
661,13121002100,891.0,2014.0
662,13121002100,871.0,2015.0
663,13121002100,940.0,2016.0
664,13121002100,963.0,2017.0
665,13121007806,911.0,2010.0
666,13121007806,933.0,2011.0
667,13121007806,905.0,2012.0
668,13121007806,921.0,2013.0
669,13121007806,905.0,2014.0
670,13121007806,837.0,2015.0
671,13121007806,864.0,2016.0
672,13121007806,877.0,2017.0
673,13121007805,811.0,2010.0
674,13121007805,835.0,2011.0
675,13121007805,853.0,2012.0
676,13121007805,844.0,2013.0
677,13121007805,867.0,2014.0
678,13121007805,797.0,2015.0
679,13121007805,793.0,2016.0
680,13121007805,827.0,2017.0
681,13121002800,289.0,2010.0
682,13121002800,319.0,2011.0
683,13121002800,413.0,2012.0
684,13121002800,424.0,2013.0
685,13121002800,734.0,2014.0
686,13121002800,885.0,2015.0
687,13121002800,920.0,2016.0
688,13121002800,1116.0,2017.0
689,13121002600,848.0,2010.0
690,13121002600,839.0,2011.0
691,13121002600,866.0,2012.0
692,13121002600,856.0,2013.0
693,13121002600,895.0,2014.0
694,13121002600,907.0,2015.0
695,13121002600,926.0,2016.0
696,13121002600,946.0,2017.0
697,13121003000,1107.0,2010.0
698,13121003000,1166.0,2011.0
699,13121003000,1173.0,2012.0
700,13121003000,1154.0,2013.0
701,13121003000,1208.0,2014.0
702,13121003000,1195.0,2015.0
703,13121003000,1206.0,2016.0
704,13121003000,1293.0,2017.0
705,13121002400,801.0,2010.0
706,13121002400,825.0,2011.0
707,13121002400,817.0,2012.0
708,13121002400,819.0,2013.0
709,13121002400,903.0,2014.0
710,13121002400,897.0,2015.0
711,13121002400,858.0,2016.0
712,13121002400,970.0,2017.0
713,13121003200,1002.0,2010.0
714,13121003200,996.0,2011.0
715,13121003200,1033.0,2012.0
716,13121003200,1082.0,2013.0
717,13121003200,1125.0,2014.0
718,13121003200,1131.0,2015.0
719,13121003200,1200.0,2016.0
720,13121003200,1301.0,2017.0
721,13121003100,796.0,2010.0
722,13121003100,805.0,2011.0
723,13121003100,818.0,2012.0
724,13121003100,793.0,2013.0
725,13121003100,776.0,2014.0
726,13121003100,824.0,2015.0
727,13121003100,867.0,2016.0
728,13121003100,873.0,2017.0
729,13121003500,1093.0,2010.0
730,13121003500,1106.0,2011.0
731,13121003500,1137.0,2012.0
732,13121003500,1149.0,2013.0
733,13121003500,1127.0,2014.0
734,13121003500,1114.0,2015.0
735,13121003500,1144.0,2016.0
736,13121003500,1222.0,2017.0
737,13121003800,539.0,2010.0
738,13121003800,522.0,2011.0
739,13121003800,523.0,2012.0
740,13121003800,491.0,2013.0
741,13121003800,514.0,2014.0
742,13121003800,549.0,2015.0
743,13121003800,575.0,2016.0
744,13121003800,675.0,2017.0
745,13121007808,601.0,2010.0
746,13121007808,589.0,2011.0
747,13121007808,655.0,2012.0
748,13121007808,680.0,2013.0
749,13121007808,651.0,2014.0
750,13121007808,639.0,2015.0
751,13121007808,623.0,2016.0
752,13121007808,663.0,2017.0
753,13121008000,951.0,2010.0
754,13121008000,952.0,2011.0
755,13121008000,1072.0,2012.0
756,13121008000,1150.0,2013.0
757,13121008000,1154.0,2014.0
758,13121008000,1161.0,2015.0
759,13121008000,1038.0,2016.0
