,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,000 to $3,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,500 or more",CONTRACT RENT_Estimate!!Total!!No cash rent,YEAR
51,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
52,13121009700,128.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,13.0,54.0,0.0,0.0,0.0,9.0,17.0,2015.0
53,13121009700,80.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,17.0,20.0,5.0,0.0,0.0,7.0,22.0,2016.0
54,13121009700,88.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,9.0,21.0,0.0,10.0,21.0,2017.0
55,13121007100,421.0,383.0,7.0,6.0,0.0,0.0,20.0,0.0,0.0,17.0,38.0,64.0,108.0,12.0,48.0,19.0,0.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2015.0
56,13121007100,429.0,390.0,8.0,8.0,0.0,0.0,23.0,0.0,0.0,19.0,22.0,42.0,64.0,59.0,62.0,15.0,5.0,23.0,25.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,39.0,2016.0
57,13121007100,446.0,433.0,8.0,6.0,0.0,0.0,23.0,0.0,0.0,11.0,16.0,56.0,41.0,81.0,58.0,11.0,22.0,30.0,14.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,13.0,2017.0
58,13121006200,284.0,284.0,5.0,0.0,0.0,24.0,6.0,6.0,4.0,24.0,21.0,39.0,17.0,36.0,5.0,23.0,8.0,53.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
59,13121006200,267.0,267.0,0.0,0.0,0.0,23.0,21.0,0.0,5.0,17.0,19.0,28.0,15.0,36.0,7.0,34.0,5.0,45.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
60,13121006200,309.0,309.0,0.0,0.0,29.0,14.0,22.0,0.0,5.0,0.0,13.0,40.0,17.0,52.0,0.0,34.0,6.0,40.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
61,13121001100,1658.0,1634.0,0.0,0.0,47.0,13.0,37.0,17.0,8.0,10.0,0.0,0.0,12.0,42.0,257.0,68.0,15.0,152.0,49.0,249.0,185.0,340.0,65.0,68.0,0.0,0.0,24.0,2015.0
62,13121001100,1621.0,1598.0,0.0,0.0,43.0,15.0,0.0,30.0,7.0,0.0,0.0,0.0,0.0,44.0,178.0,26.0,30.0,131.0,94.0,240.0,184.0,327.0,162.0,51.0,0.0,36.0,23.0,2016.0
63,13121001100,1478.0,1478.0,0.0,0.0,15.0,29.0,15.0,0.0,24.0,0.0,0.0,0.0,0.0,44.0,109.0,0.0,12.0,130.0,94.0,170.0,237.0,277.0,204.0,64.0,17.0,37.0,0.0,2017.0
64,13121002500,692.0,687.0,5.0,27.0,9.0,0.0,26.0,69.0,0.0,8.0,47.0,110.0,84.0,61.0,54.0,45.0,66.0,24.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2015.0
65,13121002500,770.0,764.0,6.0,30.0,18.0,0.0,17.0,86.0,0.0,8.0,36.0,133.0,41.0,97.0,59.0,58.0,84.0,19.0,57.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2016.0
66,13121002500,741.0,723.0,6.0,27.0,6.0,0.0,7.0,89.0,0.0,11.0,37.0,82.0,60.0,47.0,74.0,43.0,88.0,53.0,76.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2017.0
67,13121004200,1089.0,1052.0,54.0,54.0,106.0,132.0,23.0,67.0,64.0,15.0,19.0,26.0,42.0,40.0,57.0,17.0,76.0,127.0,88.0,34.0,0.0,0.0,4.0,7.0,0.0,0.0,37.0,2015.0
68,13121004200,1233.0,1193.0,73.0,80.0,100.0,137.0,105.0,58.0,66.0,16.0,0.0,31.0,67.0,34.0,35.0,45.0,54.0,132.0,113.0,39.0,0.0,0.0,0.0,8.0,0.0,0.0,40.0,2016.0
69,13121004200,1158.0,1127.0,69.0,138.0,80.0,210.0,97.0,70.0,53.0,6.0,0.0,8.0,67.0,6.0,10.0,11.0,37.0,104.0,90.0,53.0,11.0,0.0,0.0,7.0,0.0,0.0,31.0,2017.0
70,13121009101,1660.0,1606.0,0.0,0.0,31.0,99.0,0.0,17.0,43.0,0.0,14.0,0.0,18.0,29.0,71.0,0.0,67.0,143.0,218.0,401.0,238.0,143.0,74.0,0.0,0.0,0.0,54.0,2015.0
71,13121009101,1560.0,1517.0,6.0,0.0,12.0,30.0,0.0,16.0,42.0,0.0,25.0,0.0,0.0,39.0,50.0,20.0,16.0,90.0,104.0,407.0,447.0,158.0,55.0,0.0,0.0,0.0,43.0,2016.0
72,13121009101,1589.0,1553.0,12.0,0.0,0.0,75.0,0.0,17.0,40.0,0.0,0.0,0.0,0.0,23.0,29.0,68.0,19.0,83.0,65.0,404.0,380.0,266.0,62.0,0.0,10.0,0.0,36.0,2017.0
73,13121008904,901.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,47.0,12.0,11.0,58.0,108.0,116.0,420.0,54.0,34.0,0.0,15.0,0.0,0.0,16.0,2015.0
74,13121008904,1065.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,13.0,13.0,51.0,62.0,213.0,472.0,40.0,63.0,0.0,27.0,0.0,0.0,80.0,2016.0
75,13121008904,1079.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,48.0,82.0,182.0,403.0,110.0,68.0,37.0,16.0,29.0,0.0,70.0,2017.0
76,13121003700,54.0,54.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
77,13121003700,95.0,95.0,0.0,0.0,12.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
78,13121003700,110.0,110.0,14.0,0.0,12.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
79,13121010211,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,9.0,52.0,0.0,30.0,33.0,12.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2015.0
80,13121010211,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,54.0,0.0,35.0,33.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016.0
81,13121010211,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.0,29.0,29.0,14.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,2017.0
82,13121012000,913.0,913.0,28.0,18.0,53.0,71.0,29.0,4.0,89.0,85.0,91.0,57.0,0.0,56.0,26.0,79.0,52.0,76.0,72.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2015.0
83,13121012000,950.0,950.0,18.0,14.0,24.0,70.0,47.0,7.0,101.0,37.0,123.0,57.0,0.0,90.0,9.0,76.0,51.0,70.0,83.0,15.0,10.0,40.0,0.0,0.0,8.0,0.0,0.0,2016.0
84,13121012000,933.0,919.0,16.0,5.0,6.0,65.0,46.0,28.0,49.0,63.0,86.0,82.0,34.0,73.0,36.0,74.0,46.0,33.0,85.0,22.0,8.0,54.0,0.0,0.0,8.0,0.0,14.0,2017.0
