,GEOID,VACANCY STATUS_Estimate!!Total,VACANCY STATUS_Estimate!!Total!!For rent,"VACANCY STATUS_Estimate!!Total!!Rented, not occupied",VACANCY STATUS_Estimate!!Total!!For sale only,"VACANCY STATUS_Estimate!!Total!!Sold, not occupied","VACANCY STATUS_Estimate!!Total!!For seasonal, recreational, or occasional use",VACANCY STATUS_Estimate!!Total!!For migrant workers,VACANCY STATUS_Estimate!!Total!!Other vacant,YEAR
250,13121009603,672.0,206.0,0.0,84.0,109.0,273.0,0.0,0.0,2015.0
251,13121009603,493.0,124.0,34.0,112.0,31.0,192.0,0.0,0.0,2016.0
252,13121009603,635.0,110.0,60.0,121.0,73.0,271.0,0.0,0.0,2017.0
253,13121009601,343.0,70.0,146.0,29.0,54.0,19.0,0.0,25.0,2012.0
254,13121009601,365.0,73.0,160.0,27.0,49.0,38.0,0.0,18.0,2013.0
255,13121009601,334.0,86.0,171.0,0.0,18.0,51.0,0.0,8.0,2014.0
256,13121009601,356.0,60.0,148.0,18.0,38.0,84.0,0.0,8.0,2015.0
257,13121009601,320.0,127.0,37.0,19.0,42.0,87.0,0.0,8.0,2016.0
258,13121009601,288.0,120.0,36.0,22.0,19.0,76.0,0.0,15.0,2017.0
259,13121009801,207.0,34.0,0.0,52.0,43.0,9.0,0.0,69.0,2012.0
260,13121009801,182.0,19.0,0.0,47.0,0.0,52.0,0.0,64.0,2013.0
261,13121009801,250.0,31.0,0.0,70.0,0.0,74.0,0.0,75.0,2014.0
262,13121009801,210.0,0.0,0.0,38.0,26.0,79.0,0.0,67.0,2015.0
263,13121009801,232.0,0.0,0.0,23.0,33.0,124.0,0.0,52.0,2016.0
264,13121009801,294.0,0.0,0.0,30.0,39.0,170.0,0.0,55.0,2017.0
265,13121011900,415.0,93.0,47.0,148.0,0.0,23.0,0.0,104.0,2012.0
266,13121011900,321.0,71.0,23.0,137.0,0.0,37.0,0.0,53.0,2013.0
267,13121011900,342.0,64.0,21.0,130.0,31.0,35.0,0.0,61.0,2014.0
268,13121011900,267.0,12.0,38.0,115.0,41.0,28.0,0.0,33.0,2015.0
269,13121011900,224.0,19.0,19.0,57.0,42.0,31.0,0.0,56.0,2016.0
270,13121011900,274.0,73.0,21.0,16.0,48.0,55.0,0.0,61.0,2017.0
271,13121001202,755.0,105.0,99.0,73.0,40.0,323.0,0.0,115.0,2012.0
272,13121001202,686.0,36.0,98.0,42.0,42.0,390.0,0.0,78.0,2013.0
273,13121001202,631.0,71.0,92.0,42.0,44.0,382.0,0.0,0.0,2014.0
274,13121001202,605.0,79.0,48.0,15.0,42.0,421.0,0.0,0.0,2015.0
275,13121001202,465.0,86.0,49.0,21.0,79.0,230.0,0.0,0.0,2016.0
276,13121001202,525.0,73.0,0.0,58.0,80.0,314.0,0.0,0.0,2017.0
277,13121009102,264.0,48.0,95.0,45.0,0.0,31.0,0.0,45.0,2012.0
278,13121009102,234.0,36.0,57.0,55.0,0.0,86.0,0.0,0.0,2013.0
279,13121009102,490.0,43.0,145.0,69.0,0.0,233.0,0.0,0.0,2014.0
280,13121009102,570.0,38.0,139.0,80.0,0.0,313.0,0.0,0.0,2015.0
281,13121009102,682.0,86.0,141.0,42.0,0.0,413.0,0.0,0.0,2016.0
282,13121009102,705.0,46.0,141.0,54.0,0.0,417.0,0.0,47.0,2017.0
283,13089020802,216.0,122.0,0.0,32.0,0.0,0.0,0.0,62.0,2012.0
284,13089020802,263.0,96.0,0.0,0.0,0.0,0.0,0.0,167.0,2013.0
285,13089020802,229.0,90.0,0.0,0.0,0.0,0.0,0.0,139.0,2014.0
286,13089020802,229.0,55.0,0.0,24.0,0.0,0.0,0.0,150.0,2015.0
287,13089020802,260.0,31.0,0.0,72.0,0.0,22.0,0.0,135.0,2016.0
288,13089020802,241.0,28.0,0.0,75.0,0.0,22.0,0.0,116.0,2017.0
289,13121001201,284.0,28.0,15.0,46.0,0.0,91.0,0.0,104.0,2012.0
290,13121001201,230.0,44.0,13.0,0.0,46.0,86.0,0.0,41.0,2013.0
291,13121001201,276.0,37.0,50.0,0.0,78.0,75.0,0.0,36.0,2014.0
292,13121001201,209.0,40.0,41.0,0.0,84.0,44.0,0.0,0.0,2015.0
293,13121001201,213.0,37.0,39.0,0.0,81.0,56.0,0.0,0.0,2016.0
294,13121001201,189.0,0.0,43.0,0.0,90.0,56.0,0.0,0.0,2017.0
295,13121001001,166.0,50.0,0.0,17.0,30.0,43.0,0.0,26.0,2012.0
296,13121001001,124.0,15.0,0.0,22.0,0.0,57.0,0.0,30.0,2013.0
297,13121001001,183.0,15.0,15.0,30.0,15.0,92.0,0.0,16.0,2014.0
