,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
54,13121001600,1002.0,1002.0,0.0,0.0,10.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,17.0,45.0,38.0,92.0,114.0,67.0,41.0,285.0,204.0,50.0,0.0,2017.0
55,13121001500,1451.0,1430.0,0.0,0.0,68.0,77.0,9.0,0.0,21.0,0.0,44.0,65.0,0.0,126.0,125.0,78.0,38.0,221.0,145.0,269.0,95.0,49.0,0.0,21.0,2012.0
56,13121001500,1453.0,1442.0,0.0,0.0,21.0,74.0,37.0,0.0,28.0,0.0,56.0,11.0,38.0,149.0,116.0,104.0,41.0,269.0,123.0,213.0,100.0,46.0,16.0,11.0,2013.0
57,13121001500,1523.0,1510.0,0.0,0.0,24.0,50.0,43.0,0.0,21.0,14.0,57.0,37.0,36.0,96.0,128.0,143.0,93.0,300.0,93.0,192.0,83.0,81.0,19.0,13.0,2014.0
58,13121001500,1721.0,1687.0,0.0,0.0,60.0,117.0,36.0,0.0,19.0,15.0,72.0,26.0,99.0,79.0,72.0,180.0,98.0,270.0,125.0,201.0,119.0,68.0,31.0,0.0,2015.0
59,13121001500,1663.0,1627.0,0.0,12.0,56.0,84.0,42.0,0.0,16.0,15.0,73.0,30.0,87.0,81.0,80.0,154.0,98.0,227.0,96.0,237.0,172.0,26.0,31.0,0.0,2016.0
60,13121001500,1547.0,1516.0,0.0,19.0,56.0,96.0,33.0,0.0,0.0,0.0,31.0,42.0,96.0,58.0,153.0,70.0,96.0,157.0,106.0,258.0,135.0,35.0,46.0,0.0,2017.0
61,13121001900,934.0,917.0,28.0,93.0,0.0,74.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,45.0,62.0,39.0,82.0,71.0,14.0,123.0,114.0,32.0,85.0,17.0,2012.0
62,13121001900,800.0,770.0,29.0,0.0,0.0,37.0,0.0,0.0,0.0,14.0,0.0,33.0,0.0,38.0,56.0,0.0,93.0,109.0,36.0,175.0,111.0,16.0,23.0,30.0,2013.0
63,13121001900,887.0,862.0,6.0,0.0,0.0,39.0,37.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,74.0,19.0,87.0,66.0,97.0,226.0,138.0,19.0,27.0,25.0,2014.0
64,13121001900,875.0,841.0,5.0,0.0,0.0,9.0,32.0,0.0,0.0,9.0,16.0,0.0,0.0,19.0,35.0,22.0,76.0,71.0,113.0,245.0,124.0,34.0,10.0,21.0,2015.0
65,13121001900,896.0,875.0,7.0,0.0,9.0,0.0,35.0,0.0,0.0,9.0,16.0,0.0,0.0,20.0,40.0,0.0,60.0,69.0,138.0,245.0,156.0,45.0,9.0,17.0,2016.0
66,13121001900,910.0,891.0,25.0,0.0,10.0,0.0,37.0,15.0,0.0,10.0,78.0,0.0,0.0,19.0,0.0,33.0,0.0,48.0,62.0,252.0,185.0,79.0,18.0,20.0,2017.0
