,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
406,13089023801,1649.0,876.0,507.0,369.0,102.0,267.0,773.0,590.0,183.0,2017.0
407,13089023802,1403.0,826.0,413.0,413.0,63.0,350.0,577.0,426.0,151.0,2017.0
408,13089023803,1993.0,1181.0,693.0,488.0,105.0,383.0,812.0,530.0,282.0,2017.0
494,13121000100,1969.0,1267.0,1132.0,135.0,61.0,74.0,702.0,498.0,204.0,2017.0
495,13121000200,2777.0,1271.0,1112.0,159.0,69.0,90.0,1506.0,1047.0,459.0,2017.0
496,13121000400,934.0,327.0,283.0,44.0,23.0,21.0,607.0,525.0,82.0,2017.0
497,13121000500,2703.0,942.0,795.0,147.0,41.0,106.0,1761.0,1479.0,282.0,2017.0
498,13121000600,2383.0,315.0,239.0,76.0,35.0,41.0,2068.0,1413.0,655.0,2017.0
499,13121000700,348.0,126.0,94.0,32.0,3.0,29.0,222.0,193.0,29.0,2017.0
500,13121001001,818.0,198.0,168.0,30.0,0.0,30.0,620.0,430.0,190.0,2017.0
501,13121001002,493.0,44.0,24.0,20.0,15.0,5.0,449.0,355.0,94.0,2017.0
502,13121001100,2949.0,817.0,712.0,105.0,47.0,58.0,2132.0,1921.0,211.0,2017.0
503,13121001201,2680.0,527.0,464.0,63.0,16.0,47.0,2153.0,1802.0,351.0,2017.0
504,13121001202,2945.0,582.0,459.0,123.0,74.0,49.0,2363.0,2053.0,310.0,2017.0
505,13121001300,2235.0,625.0,382.0,243.0,0.0,243.0,1610.0,1219.0,391.0,2017.0
506,13121001400,1300.0,366.0,287.0,79.0,19.0,60.0,934.0,709.0,225.0,2017.0
507,13121001500,2437.0,595.0,495.0,100.0,47.0,53.0,1842.0,1397.0,445.0,2017.0
508,13121001600,1304.0,404.0,285.0,119.0,95.0,24.0,900.0,676.0,224.0,2017.0
509,13121001700,2260.0,782.0,369.0,413.0,82.0,331.0,1478.0,1102.0,376.0,2017.0
510,13121001800,3021.0,513.0,314.0,199.0,10.0,189.0,2508.0,2282.0,226.0,2017.0
511,13121001900,1382.0,219.0,186.0,33.0,8.0,25.0,1163.0,1047.0,116.0,2017.0
512,13121002100,871.0,391.0,200.0,191.0,18.0,173.0,480.0,341.0,139.0,2017.0
513,13121002300,534.0,232.0,83.0,149.0,48.0,101.0,302.0,246.0,56.0,2017.0
514,13121002400,878.0,460.0,110.0,350.0,105.0,245.0,418.0,378.0,40.0,2017.0
515,13121002500,955.0,341.0,80.0,261.0,86.0,175.0,614.0,457.0,157.0,2017.0
516,13121002600,595.0,307.0,117.0,190.0,20.0,170.0,288.0,225.0,63.0,2017.0
517,13121002800,1389.0,225.0,79.0,146.0,21.0,125.0,1164.0,928.0,236.0,2017.0
518,13121002900,1266.0,294.0,209.0,85.0,38.0,47.0,972.0,724.0,248.0,2017.0
519,13121003000,1770.0,648.0,570.0,78.0,22.0,56.0,1122.0,857.0,265.0,2017.0
520,13121003100,833.0,324.0,190.0,134.0,31.0,103.0,509.0,315.0,194.0,2017.0
521,13121003200,1161.0,360.0,297.0,63.0,38.0,25.0,801.0,555.0,246.0,2017.0
522,13121003500,562.0,113.0,113.0,0.0,0.0,0.0,449.0,359.0,90.0,2017.0
523,13121003600,831.0,122.0,36.0,86.0,40.0,46.0,709.0,618.0,91.0,2017.0
524,13121003800,171.0,56.0,33.0,23.0,0.0,23.0,115.0,93.0,22.0,2017.0
525,13121003900,737.0,425.0,114.0,311.0,63.0,248.0,312.0,225.0,87.0,2017.0
526,13121004000,945.0,415.0,165.0,250.0,22.0,228.0,530.0,400.0,130.0,2017.0
527,13121004100,662.0,372.0,164.0,208.0,11.0,197.0,290.0,260.0,30.0,2017.0
528,13121004200,1433.0,408.0,79.0,329.0,71.0,258.0,1025.0,986.0,39.0,2017.0
529,13121004300,699.0,213.0,29.0,184.0,6.0,178.0,486.0,309.0,177.0,2017.0
530,13121004400,1126.0,438.0,29.0,409.0,34.0,375.0,688.0,647.0,41.0,2017.0
531,13121004800,578.0,160.0,51.0,109.0,28.0,81.0,418.0,328.0,90.0,2017.0
532,13121004900,1077.0,549.0,416.0,133.0,8.0,125.0,528.0,375.0,153.0,2017.0
533,13121005000,935.0,333.0,272.0,61.0,37.0,24.0,602.0,443.0,159.0,2017.0
