,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
197,13121001700,2395.0,2119.0,276.0,2016.0
198,13121001700,2545.0,2260.0,285.0,2017.0
199,13121000600,2630.0,2049.0,581.0,2012.0
200,13121000600,2711.0,2109.0,602.0,2013.0
201,13121000600,2836.0,2179.0,657.0,2014.0
202,13121000600,2835.0,2132.0,703.0,2015.0
203,13121000600,2816.0,2106.0,710.0,2016.0
204,13121000600,3046.0,2383.0,663.0,2017.0
205,13121000200,2983.0,2711.0,272.0,2012.0
206,13121000200,2986.0,2779.0,207.0,2013.0
207,13121000200,2983.0,2754.0,229.0,2014.0
208,13121000200,3015.0,2925.0,90.0,2015.0
209,13121000200,2985.0,2897.0,88.0,2016.0
210,13121000200,2871.0,2777.0,94.0,2017.0
211,13121000400,1221.0,998.0,223.0,2012.0
212,13121000400,1207.0,948.0,259.0,2013.0
213,13121000400,1170.0,874.0,296.0,2014.0
214,13121000400,1135.0,813.0,322.0,2015.0
215,13121000400,1144.0,865.0,279.0,2016.0
216,13121000400,1194.0,934.0,260.0,2017.0
217,13121000100,2055.0,1848.0,207.0,2012.0
218,13121000100,2017.0,1877.0,140.0,2013.0
219,13121000100,2006.0,1807.0,199.0,2014.0
220,13121000100,2044.0,1847.0,197.0,2015.0
221,13121000100,2045.0,1856.0,189.0,2016.0
222,13121000100,2098.0,1969.0,129.0,2017.0
223,13121010206,2313.0,1905.0,408.0,2012.0
224,13121010206,2372.0,1979.0,393.0,2013.0
225,13121010206,2384.0,2014.0,370.0,2014.0
226,13121010206,2411.0,2116.0,295.0,2015.0
227,13121010206,2498.0,2228.0,270.0,2016.0
228,13121010206,2525.0,2328.0,197.0,2017.0
229,13121006602,607.0,410.0,197.0,2012.0
230,13121006602,593.0,367.0,226.0,2013.0
231,13121006602,609.0,401.0,208.0,2014.0
232,13121006602,603.0,421.0,182.0,2015.0
233,13121006602,621.0,436.0,185.0,2016.0
234,13121006602,615.0,441.0,174.0,2017.0
235,13121002900,1545.0,1085.0,460.0,2012.0
236,13121002900,1568.0,1179.0,389.0,2013.0
237,13121002900,1588.0,1340.0,248.0,2014.0
238,13121002900,1518.0,1323.0,195.0,2015.0
239,13121002900,1493.0,1247.0,246.0,2016.0
240,13121002900,1535.0,1266.0,269.0,2017.0
241,13121007705,2194.0,1981.0,213.0,2012.0
242,13121007705,2222.0,1934.0,288.0,2013.0
243,13121007705,2206.0,1960.0,246.0,2014.0
244,13121007705,2187.0,1926.0,261.0,2015.0
245,13121007705,2162.0,1871.0,291.0,2016.0
246,13121007705,2218.0,1772.0,446.0,2017.0
247,13121009603,2882.0,2023.0,859.0,2012.0
248,13121009603,2891.0,2068.0,823.0,2013.0
249,13121009603,2891.0,2146.0,745.0,2014.0
250,13121009603,2966.0,2294.0,672.0,2015.0
251,13121009603,3124.0,2631.0,493.0,2016.0
252,13121009603,3326.0,2691.0,635.0,2017.0
253,13121009601,1607.0,1264.0,343.0,2012.0
254,13121009601,1633.0,1268.0,365.0,2013.0
255,13121009601,1664.0,1330.0,334.0,2014.0
256,13121009601,1635.0,1279.0,356.0,2015.0
257,13121009601,1669.0,1349.0,320.0,2016.0
258,13121009601,1676.0,1388.0,288.0,2017.0
259,13121009801,1952.0,1745.0,207.0,2012.0
260,13121009801,1974.0,1792.0,182.0,2013.0
261,13121009801,2032.0,1782.0,250.0,2014.0
262,13121009801,2110.0,1900.0,210.0,2015.0
263,13121009801,2171.0,1939.0,232.0,2016.0
264,13121009801,2256.0,1962.0,294.0,2017.0
265,13121011900,1535.0,1120.0,415.0,2012.0
266,13121011900,1738.0,1417.0,321.0,2013.0
267,13121011900,1890.0,1548.0,342.0,2014.0
268,13121011900,1987.0,1720.0,267.0,2015.0
269,13121011900,2001.0,1777.0,224.0,2016.0
270,13121011900,2116.0,1842.0,274.0,2017.0
271,13121001202,3230.0,2475.0,755.0,2012.0
272,13121001202,3235.0,2549.0,686.0,2013.0
273,13121001202,3254.0,2623.0,631.0,2014.0
274,13121001202,3376.0,2771.0,605.0,2015.0
275,13121001202,3392.0,2927.0,465.0,2016.0
276,13121001202,3470.0,2945.0,525.0,2017.0
277,13121009102,2246.0,1982.0,264.0,2012.0
278,13121009102,2255.0,2021.0,234.0,2013.0
279,13121009102,2394.0,1904.0,490.0,2014.0
280,13121009102,2437.0,1867.0,570.0,2015.0
281,13121009102,2498.0,1816.0,682.0,2016.0
282,13121009102,2460.0,1755.0,705.0,2017.0
283,13089020802,1892.0,1676.0,216.0,2012.0
284,13089020802,1897.0,1634.0,263.0,2013.0
285,13089020802,1852.0,1623.0,229.0,2014.0
286,13089020802,1869.0,1640.0,229.0,2015.0
287,13089020802,1960.0,1700.0,260.0,2016.0
288,13089020802,2024.0,1783.0,241.0,2017.0
289,13121001201,2687.0,2403.0,284.0,2012.0
290,13121001201,2658.0,2428.0,230.0,2013.0
291,13121001201,2719.0,2443.0,276.0,2014.0
292,13121001201,2743.0,2534.0,209.0,2015.0
293,13121001201,2765.0,2552.0,213.0,2016.0
294,13121001201,2869.0,2680.0,189.0,2017.0
295,13121001001,952.0,786.0,166.0,2012.0
296,13121001001,821.0,697.0,124.0,2013.0
297,13121001001,917.0,734.0,183.0,2014.0
298,13121001001,1000.0,770.0,230.0,2015.0
299,13121001001,1049.0,782.0,267.0,2016.0
300,13121001001,1163.0,818.0,345.0,2017.0
301,13121008903,1293.0,860.0,433.0,2012.0
302,13121008903,1224.0,788.0,436.0,2013.0
303,13121008903,1139.0,650.0,489.0,2014.0
304,13121008903,969.0,640.0,329.0,2015.0
305,13121008903,950.0,725.0,225.0,2016.0
306,13121008903,987.0,784.0,203.0,2017.0
307,13121004300,685.0,487.0,198.0,2012.0
308,13121004300,654.0,479.0,175.0,2013.0
309,13121004300,679.0,537.0,142.0,2014.0
310,13121004300,713.0,599.0,114.0,2015.0
311,13121004300,732.0,671.0,61.0,2016.0
312,13121004300,741.0,699.0,42.0,2017.0
313,13121007603,2514.0,2170.0,344.0,2012.0
314,13121007603,2475.0,2131.0,344.0,2013.0
315,13121007603,2472.0,2061.0,411.0,2014.0
316,13121007603,2505.0,2018.0,487.0,2015.0
317,13121007603,2557.0,2049.0,508.0,2016.0
