,GEOID,RENT ASKED_Estimate!!Total,RENT ASKED_Estimate!!Total!!Less than $100,RENT ASKED_Estimate!!Total!!$100 to $149,RENT ASKED_Estimate!!Total!!$150 to $199,RENT ASKED_Estimate!!Total!!$200 to $249,RENT ASKED_Estimate!!Total!!$250 to $299,RENT ASKED_Estimate!!Total!!$300 to $349,RENT ASKED_Estimate!!Total!!$350 to $399,RENT ASKED_Estimate!!Total!!$400 to $449,RENT ASKED_Estimate!!Total!!$450 to $499,RENT ASKED_Estimate!!Total!!$500 to $549,RENT ASKED_Estimate!!Total!!$550 to $599,RENT ASKED_Estimate!!Total!!$600 to $649,RENT ASKED_Estimate!!Total!!$650 to $699,RENT ASKED_Estimate!!Total!!$700 to $749,RENT ASKED_Estimate!!Total!!$750 to $799,RENT ASKED_Estimate!!Total!!$800 to $899,RENT ASKED_Estimate!!Total!!$900 to $999,"RENT ASKED_Estimate!!Total!!$1,000 to $1,249","RENT ASKED_Estimate!!Total!!$1,250 to $1,499","RENT ASKED_Estimate!!Total!!$1,500 to $1,999","RENT ASKED_Estimate!!Total!!$2,000 to $2,499","RENT ASKED_Estimate!!Total!!$2,500 to $2,999","RENT ASKED_Estimate!!Total!!$3,000 to $3,499","RENT ASKED_Estimate!!Total!!$3,500 or more",YEAR
306,13089021503,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,80.0,27.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,2017.0
307,13089021504,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,46.0,160.0,0.0,0.0,0.0,0.0,0.0,2017.0
308,13089021602,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
309,13089021603,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,39.0,36.0,0.0,0.0,0.0,0.0,2017.0
310,13089021604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
311,13089021605,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,45.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2017.0
312,13089021703,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2017.0
313,13089021704,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
314,13089021705,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,14.0,38.0,94.0,62.0,35.0,0.0,0.0,0.0,0.0,2017.0
315,13089021706,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,37.0,88.0,38.0,0.0,0.0,0.0,0.0,2017.0
316,13089021805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
317,13089021806,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
318,13089021808,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,27.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
319,13089021809,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
320,13089021810,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,55.0,0.0,51.0,0.0,0.0,0.0,0.0,2017.0
321,13089021812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
322,13089021813,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,10.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,2017.0
323,13089021814,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,66.0,0.0,0.0,73.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
324,13089021906,150.0,19.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,30.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
