,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
518,13121002900,1535.0,2017.0
519,13121003000,1884.0,2017.0
520,13121003100,951.0,2017.0
521,13121003200,1472.0,2017.0
522,13121003500,713.0,2017.0
523,13121003600,1014.0,2017.0
524,13121003800,289.0,2017.0
525,13121003900,1089.0,2017.0
526,13121004000,1319.0,2017.0
527,13121004100,1161.0,2017.0
528,13121004200,1609.0,2017.0
529,13121004300,741.0,2017.0
530,13121004400,1348.0,2017.0
531,13121004800,598.0,2017.0
532,13121004900,1271.0,2017.0
533,13121005000,1031.0,2017.0
534,13121005200,2621.0,2017.0
535,13121005300,1769.0,2017.0
536,13121005501,1230.0,2017.0
537,13121005502,1379.0,2017.0
538,13121005700,925.0,2017.0
539,13121005800,805.0,2017.0
540,13121006000,1764.0,2017.0
541,13121006100,1774.0,2017.0
542,13121006200,721.0,2017.0
543,13121006300,1161.0,2017.0
544,13121006400,473.0,2017.0
545,13121006500,1845.0,2017.0
546,13121006601,995.0,2017.0
547,13121006602,615.0,2017.0
548,13121006700,2070.0,2017.0
549,13121006801,0.0,2017.0
550,13121006802,571.0,2017.0
551,13121006900,1612.0,2017.0
552,13121007001,1893.0,2017.0
553,13121007002,1386.0,2017.0
554,13121007100,1058.0,2017.0
555,13121007200,1088.0,2017.0
556,13121007300,3276.0,2017.0
557,13121007400,1500.0,2017.0
558,13121007500,1965.0,2017.0
559,13121007602,1196.0,2017.0
560,13121007603,2659.0,2017.0
561,13121007604,1489.0,2017.0
562,13121007703,1805.0,2017.0
563,13121007704,2388.0,2017.0
564,13121007705,2218.0,2017.0
565,13121007706,4890.0,2017.0
566,13121007802,3847.0,2017.0
567,13121007805,1457.0,2017.0
568,13121007806,2514.0,2017.0
569,13121007807,1501.0,2017.0
570,13121007808,1926.0,2017.0
571,13121007900,2468.0,2017.0
572,13121008000,2461.0,2017.0
573,13121008101,488.0,2017.0
574,13121008102,3282.0,2017.0
575,13121008201,2913.0,2017.0
576,13121008202,957.0,2017.0
577,13121008301,1637.0,2017.0
578,13121008302,1177.0,2017.0
579,13121008400,2134.0,2017.0
580,13121008500,1654.0,2017.0
581,13121008601,2162.0,2017.0
582,13121008602,631.0,2017.0
583,13121008700,2633.0,2017.0
584,13121008800,2359.0,2017.0
585,13121008902,4365.0,2017.0
586,13121008903,987.0,2017.0
587,13121008904,2895.0,2017.0
588,13121009000,2101.0,2017.0
589,13121009101,3696.0,2017.0
590,13121009102,2460.0,2017.0
591,13121009200,4133.0,2017.0
592,13121009300,2658.0,2017.0
593,13121009402,2862.0,2017.0
594,13121009403,3167.0,2017.0
595,13121009404,2702.0,2017.0
596,13121009501,2025.0,2017.0
597,13121009502,2585.0,2017.0
598,13121009601,1676.0,2017.0
599,13121009602,3323.0,2017.0
600,13121009603,3326.0,2017.0
601,13121009700,1667.0,2017.0
602,13121009801,2256.0,2017.0
603,13121009802,2123.0,2017.0
604,13121009900,2406.0,2017.0
605,13121010001,2992.0,2017.0
606,13121010002,4191.0,2017.0
607,13121010106,2064.0,2017.0
608,13121010107,725.0,2017.0
609,13121010108,1603.0,2017.0
610,13121010110,3523.0,2017.0
611,13121010113,3375.0,2017.0
612,13121010114,3183.0,2017.0
613,13121010115,1162.0,2017.0
614,13121010117,1941.0,2017.0
615,13121010118,2387.0,2017.0
616,13121010119,2504.0,2017.0
617,13121010120,1210.0,2017.0
618,13121010121,1355.0,2017.0
619,13121010122,3365.0,2017.0
620,13121010123,2348.0,2017.0
621,13121010204,1977.0,2017.0
622,13121010205,2497.0,2017.0
623,13121010206,2525.0,2017.0
624,13121010208,2515.0,2017.0
625,13121010209,3029.0,2017.0
626,13121010210,2772.0,2017.0
627,13121010211,1209.0,2017.0
628,13121010212,2183.0,2017.0
629,13121010301,6564.0,2017.0
630,13121010303,4325.0,2017.0
631,13121010304,5291.0,2017.0
632,13121010400,3155.0,2017.0
633,13121010507,3384.0,2017.0
634,13121010508,1462.0,2017.0
