,GEOID,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!2-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!3-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!4-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!5-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!6-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!7-or-more-person families,YEAR
105,13121004000,31442.0,25903.0,30481.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
106,13121004400,20039.0,20156.0,35435.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
107,13121005300,116528.0,105750.0,116989.0,173125.0,-666666666.0,-666666666.0,-666666666.0,2017.0
108,13121008400,21250.0,21579.0,16534.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
109,13121008302,39417.0,43224.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
110,13121005200,125789.0,102330.0,135682.0,201250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
111,13121008500,40721.0,37656.0,-666666666.0,37250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
112,13121008202,29457.0,29728.0,35625.0,19167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
113,13121008601,21921.0,29549.0,11779.0,23938.0,-666666666.0,-666666666.0,-666666666.0,2017.0
114,13121008301,40547.0,43542.0,30791.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
115,13121005501,31131.0,17500.0,52639.0,56250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
