,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
544,13121006400,43690.0,22083.0,45833.0,49000.0,50917.0,-666666666.0,-666666666.0,-666666666.0,2017.0
545,13121006500,39274.0,26875.0,41389.0,44583.0,-666666666.0,-666666666.0,92774.0,-666666666.0,2017.0
546,13121006601,36250.0,17500.0,46923.0,70313.0,-666666666.0,52188.0,-666666666.0,-666666666.0,2017.0
547,13121006602,20170.0,18333.0,21648.0,17083.0,65500.0,-666666666.0,-666666666.0,-666666666.0,2017.0
548,13121006700,23017.0,20250.0,20389.0,39188.0,41742.0,-666666666.0,-666666666.0,-666666666.0,2017.0
549,13121006801,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
550,13121006802,9815.0,12969.0,2499.0,-666666666.0,12159.0,2499.0,2499.0,19808.0,2017.0
551,13121006900,71359.0,46161.0,74297.0,80524.0,72500.0,80905.0,-666666666.0,-666666666.0,2017.0
552,13121007001,26436.0,15547.0,34667.0,27207.0,28977.0,50350.0,-666666666.0,46222.0,2017.0
553,13121007002,34286.0,32097.0,38889.0,14491.0,58170.0,-666666666.0,-666666666.0,-666666666.0,2017.0
554,13121007100,22500.0,17194.0,30078.0,22207.0,36429.0,74792.0,-666666666.0,-666666666.0,2017.0
555,13121007200,24722.0,17083.0,42833.0,28281.0,40484.0,-666666666.0,-666666666.0,-666666666.0,2017.0
556,13121007300,24465.0,24453.0,28456.0,23438.0,25729.0,-666666666.0,-666666666.0,-666666666.0,2017.0
557,13121007400,17796.0,13494.0,35313.0,13478.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
558,13121007500,23563.0,18355.0,26643.0,58250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
559,13121007602,34136.0,22368.0,48047.0,-666666666.0,35000.0,-666666666.0,34563.0,-666666666.0,2017.0
560,13121007603,13792.0,12059.0,24080.0,15893.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
561,13121007604,18537.0,12179.0,21212.0,32899.0,-666666666.0,23636.0,-666666666.0,250001.0,2017.0
562,13121007703,42150.0,29792.0,47734.0,35263.0,53929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
563,13121007704,30497.0,20375.0,30852.0,55052.0,54896.0,-666666666.0,58783.0,-666666666.0,2017.0
564,13121007705,22592.0,16979.0,40893.0,-666666666.0,28826.0,-666666666.0,-666666666.0,-666666666.0,2017.0
565,13121007706,36369.0,27697.0,46559.0,-666666666.0,86250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
566,13121007802,44932.0,40302.0,56902.0,36813.0,132870.0,-666666666.0,-666666666.0,-666666666.0,2017.0
567,13121007805,33255.0,21211.0,47446.0,64034.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
568,13121007806,31192.0,22886.0,28295.0,25972.0,47344.0,90069.0,-666666666.0,-666666666.0,2017.0
569,13121007807,21912.0,18750.0,32000.0,36250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
570,13121007808,12266.0,16806.0,12209.0,-666666666.0,-666666666.0,8534.0,-666666666.0,-666666666.0,2017.0
571,13121007900,54467.0,40170.0,66021.0,78641.0,75938.0,53618.0,-666666666.0,-666666666.0,2017.0
572,13121008000,41450.0,24375.0,49816.0,46917.0,58158.0,-666666666.0,-666666666.0,-666666666.0,2017.0
573,13121008101,31833.0,25000.0,44583.0,31500.0,70938.0,2499.0,-666666666.0,-666666666.0,2017.0
574,13121008102,24940.0,16361.0,33618.0,35657.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
575,13121008201,31037.0,19083.0,44171.0,38696.0,40536.0,-666666666.0,-666666666.0,-666666666.0,2017.0
576,13121008202,27454.0,25945.0,31719.0,30313.0,19167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
577,13121008301,27023.0,19773.0,41607.0,30074.0,48214.0,-666666666.0,-666666666.0,-666666666.0,2017.0
578,13121008302,28949.0,24545.0,43882.0,-666666666.0,51250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
579,13121008400,21708.0,21149.0,23450.0,16534.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
580,13121008500,28364.0,19130.0,38594.0,28917.0,37250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
581,13121008601,21846.0,21193.0,30319.0,12348.0,21167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
582,13121008602,36815.0,34676.0,41250.0,52930.0,26167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
583,13121008700,29583.0,25548.0,34512.0,40184.0,41193.0,28750.0,-666666666.0,-666666666.0,2017.0
584,13121008800,95524.0,49327.0,105698.0,107031.0,121324.0,167019.0,-666666666.0,-666666666.0,2017.0
585,13121008902,57142.0,52706.0,72609.0,100652.0,140750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
586,13121008903,71548.0,72718.0,126979.0,73750.0,32222.0,40568.0,-666666666.0,-666666666.0,2017.0
587,13121008904,78924.0,50332.0,118646.0,161357.0,-666666666.0,223667.0,-666666666.0,-666666666.0,2017.0
588,13121009000,105197.0,51875.0,104028.0,142750.0,250001.0,242019.0,-666666666.0,-666666666.0,2017.0
589,13121009101,76981.0,64722.0,98102.0,147279.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
590,13121009102,54174.0,34256.0,103110.0,247672.0,250001.0,243125.0,-666666666.0,-666666666.0,2017.0
591,13121009200,65957.0,53108.0,83250.0,106146.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
592,13121009300,100844.0,55637.0,148162.0,240341.0,206645.0,-666666666.0,-666666666.0,-666666666.0,2017.0
593,13121009402,69034.0,54530.0,106721.0,118750.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
594,13121009403,45102.0,38221.0,65164.0,50714.0,173929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
595,13121009404,73649.0,52186.0,111641.0,100448.0,138523.0,250001.0,-666666666.0,-666666666.0,2017.0
596,13121009501,149688.0,52500.0,163984.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
597,13121009502,89298.0,62232.0,103857.0,115250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
598,13121009601,94265.0,71524.0,105417.0,115417.0,136071.0,-666666666.0,-666666666.0,-666666666.0,2017.0
599,13121009602,101689.0,65112.0,135859.0,206944.0,231548.0,-666666666.0,-666666666.0,-666666666.0,2017.0
600,13121009603,75987.0,56046.0,131895.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
601,13121009700,200179.0,39702.0,205268.0,250001.0,196500.0,250001.0,-666666666.0,-666666666.0,2017.0
602,13121009801,105536.0,48700.0,164375.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
603,13121009802,158800.0,92212.0,155069.0,167458.0,212768.0,250001.0,184659.0,-666666666.0,2017.0
604,13121009900,124643.0,53452.0,194145.0,160250.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
605,13121010001,103894.0,57625.0,145398.0,250001.0,250001.0,121172.0,-666666666.0,-666666666.0,2017.0
606,13121010002,138864.0,69769.0,157274.0,185682.0,208750.0,250001.0,-666666666.0,-666666666.0,2017.0
607,13121010106,74167.0,38475.0,84435.0,105260.0,-666666666.0,250001.0,-666666666.0,-666666666.0,2017.0
608,13121010107,174875.0,69375.0,158333.0,247000.0,202813.0,-666666666.0,250001.0,-666666666.0,2017.0
