,GEOID,GROSS RENT_Estimate!!Total,GROSS RENT_Estimate!!Total!!With cash rent,GROSS RENT_Estimate!!Total!!With cash rent!!Less than $100,GROSS RENT_Estimate!!Total!!With cash rent!!$100 to $149,GROSS RENT_Estimate!!Total!!With cash rent!!$150 to $199,GROSS RENT_Estimate!!Total!!With cash rent!!$200 to $249,GROSS RENT_Estimate!!Total!!With cash rent!!$250 to $299,GROSS RENT_Estimate!!Total!!With cash rent!!$300 to $349,GROSS RENT_Estimate!!Total!!With cash rent!!$350 to $399,GROSS RENT_Estimate!!Total!!With cash rent!!$400 to $449,GROSS RENT_Estimate!!Total!!With cash rent!!$450 to $499,GROSS RENT_Estimate!!Total!!With cash rent!!$500 to $549,GROSS RENT_Estimate!!Total!!With cash rent!!$550 to $599,GROSS RENT_Estimate!!Total!!With cash rent!!$600 to $649,GROSS RENT_Estimate!!Total!!With cash rent!!$650 to $699,GROSS RENT_Estimate!!Total!!With cash rent!!$700 to $749,GROSS RENT_Estimate!!Total!!With cash rent!!$750 to $799,GROSS RENT_Estimate!!Total!!With cash rent!!$800 to $899,GROSS RENT_Estimate!!Total!!With cash rent!!$900 to $999,"GROSS RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","GROSS RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","GROSS RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","GROSS RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","GROSS RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
63,13121009802,759.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,135.0,176.0,249.0,56.0,42.0,2016.0
64,13121009802,696.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,102.0,167.0,161.0,147.0,52.0,2017.0
65,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
66,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
67,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
68,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
69,13121009700,124.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,51.0,28.0,6.0,2014.0
70,13121009700,128.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7.0,43.0,17.0,0.0,2015.0
71,13121009700,80.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,20.0,14.0,0.0,2016.0
72,13121009700,88.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,17.0,9.0,21.0,2017.0
73,13121007100,390.0,366.0,0.0,0.0,0.0,0.0,8.0,24.0,7.0,16.0,0.0,0.0,20.0,0.0,61.0,56.0,17.0,12.0,42.0,54.0,49.0,0.0,0.0,24.0,2014.0
74,13121007100,421.0,383.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,15.0,0.0,21.0,44.0,0.0,48.0,53.0,32.0,31.0,18.0,54.0,54.0,0.0,0.0,0.0,2015.0
75,13121007100,429.0,390.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,17.0,23.0,14.0,16.0,50.0,19.0,24.0,65.0,26.0,76.0,44.0,0.0,0.0,0.0,2016.0
76,13121007100,446.0,433.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,15.0,29.0,20.0,22.0,43.0,44.0,31.0,54.0,22.0,80.0,59.0,0.0,0.0,0.0,2017.0
77,13121006200,280.0,280.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,18.0,18.0,0.0,39.0,12.0,49.0,66.0,38.0,27.0,0.0,0.0,0.0,2014.0
78,13121006200,284.0,284.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,6.0,12.0,0.0,0.0,33.0,0.0,60.0,15.0,48.0,20.0,52.0,18.0,0.0,0.0,0.0,2015.0
79,13121006200,267.0,267.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,35.0,11.0,55.0,17.0,35.0,18.0,44.0,13.0,0.0,0.0,0.0,2016.0
80,13121006200,309.0,309.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,10.0,13.0,0.0,0.0,12.0,26.0,44.0,34.0,50.0,6.0,63.0,10.0,17.0,0.0,0.0,2017.0
81,13121001100,1346.0,1324.0,0.0,0.0,13.0,20.0,68.0,30.0,12.0,35.0,0.0,0.0,11.0,17.0,70.0,136.0,16.0,192.0,43.0,308.0,155.0,109.0,89.0,22.0,2014.0
82,13121001100,1658.0,1634.0,0.0,0.0,47.0,0.0,22.0,30.0,8.0,25.0,0.0,0.0,12.0,16.0,53.0,100.0,11.0,215.0,62.0,336.0,197.0,192.0,240.0,56.0,2015.0
83,13121001100,1621.0,1598.0,0.0,0.0,43.0,15.0,0.0,16.0,7.0,14.0,0.0,0.0,0.0,0.0,53.0,89.0,13.0,115.0,27.0,386.0,199.0,255.0,279.0,51.0,2016.0
84,13121001100,1478.0,1478.0,0.0,0.0,15.0,29.0,15.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,43.0,64.0,30.0,39.0,32.0,307.0,224.0,298.0,240.0,64.0,2017.0
85,13121002500,617.0,612.0,5.0,0.0,15.0,27.0,0.0,0.0,9.0,6.0,37.0,30.0,16.0,51.0,20.0,14.0,101.0,146.0,65.0,42.0,20.0,8.0,0.0,5.0,2014.0
86,13121002500,692.0,687.0,5.0,0.0,16.0,10.0,0.0,20.0,12.0,12.0,46.0,11.0,10.0,29.0,27.0,13.0,96.0,166.0,101.0,89.0,17.0,7.0,0.0,0.0,2015.0
87,13121002500,770.0,764.0,6.0,0.0,24.0,10.0,5.0,24.0,10.0,11.0,41.0,48.0,11.0,36.0,24.0,38.0,63.0,155.0,123.0,118.0,17.0,0.0,0.0,0.0,2016.0
88,13121002500,741.0,723.0,6.0,0.0,6.0,16.0,6.0,25.0,0.0,15.0,51.0,35.0,13.0,16.0,34.0,44.0,58.0,154.0,109.0,103.0,32.0,0.0,0.0,0.0,2017.0
89,13121004200,1137.0,1092.0,7.0,23.0,128.0,137.0,48.0,65.0,97.0,19.0,43.0,13.0,0.0,0.0,32.0,17.0,53.0,158.0,125.0,98.0,16.0,9.0,4.0,45.0,2014.0
90,13121004200,1089.0,1052.0,7.0,30.0,85.0,129.0,55.0,73.0,81.0,10.0,46.0,15.0,0.0,19.0,38.0,16.0,45.0,95.0,108.0,155.0,23.0,11.0,4.0,7.0,2015.0
91,13121004200,1233.0,1193.0,17.0,32.0,99.0,143.0,106.0,88.0,89.0,11.0,30.0,19.0,0.0,43.0,12.0,48.0,60.0,26.0,80.0,251.0,17.0,14.0,0.0,8.0,2016.0
92,13121004200,1158.0,1127.0,8.0,52.0,97.0,222.0,125.0,86.0,73.0,18.0,23.0,8.0,0.0,22.0,34.0,18.0,22.0,26.0,21.0,201.0,53.0,11.0,0.0,7.0,2017.0
93,13121009101,1671.0,1623.0,0.0,0.0,32.0,113.0,19.0,18.0,17.0,0.0,16.0,11.0,0.0,11.0,32.0,34.0,0.0,104.0,250.0,417.0,284.0,207.0,58.0,48.0,2014.0
94,13121009101,1660.0,1606.0,0.0,0.0,31.0,99.0,0.0,17.0,0.0,0.0,57.0,0.0,0.0,12.0,19.0,35.0,0.0,84.0,164.0,450.0,292.0,249.0,83.0,14.0,2015.0
95,13121009101,1560.0,1517.0,6.0,0.0,12.0,30.0,0.0,16.0,0.0,0.0,67.0,0.0,0.0,3.0,0.0,56.0,0.0,96.0,60.0,312.0,453.0,315.0,78.0,13.0,2016.0
96,13121009101,1589.0,1553.0,12.0,0.0,0.0,43.0,0.0,49.0,0.0,0.0,40.0,0.0,0.0,6.0,0.0,45.0,17.0,52.0,102.0,280.0,412.0,408.0,62.0,15.0,2017.0
97,13121008904,891.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,11.0,30.0,46.0,372.0,290.0,20.0,24.0,46.0,2014.0
98,13121008904,901.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.0,11.0,58.0,62.0,392.0,227.0,54.0,9.0,0.0,2015.0
99,13121008904,1065.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,13.0,13.0,86.0,466.0,254.0,84.0,11.0,0.0,2016.0
100,13121008904,1079.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,14.0,99.0,406.0,218.0,142.0,14.0,37.0,2017.0
