,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
481,13121009602,95222.0,2010.0
482,13121009602,88365.0,2011.0
483,13121009602,81711.0,2012.0
484,13121009602,96696.0,2013.0
485,13121009602,91875.0,2014.0
486,13121009602,95559.0,2015.0
487,13121009602,100142.0,2016.0
488,13121009602,101689.0,2017.0
489,13121009404,69333.0,2010.0
490,13121009404,76339.0,2011.0
491,13121009404,94419.0,2012.0
492,13121009404,86205.0,2013.0
493,13121009404,72282.0,2014.0
494,13121009404,71993.0,2015.0
495,13121009404,70970.0,2016.0
496,13121009404,73649.0,2017.0
497,13121009502,48750.0,2010.0
498,13121009502,46318.0,2011.0
499,13121009502,39821.0,2012.0
500,13121009502,50655.0,2013.0
501,13121009502,48068.0,2014.0
502,13121009502,52086.0,2015.0
503,13121009502,71307.0,2016.0
504,13121009502,89298.0,2017.0
505,13121010114,53375.0,2010.0
506,13121010114,57528.0,2011.0
507,13121010114,58487.0,2012.0
508,13121010114,54105.0,2013.0
509,13121010114,53763.0,2014.0
510,13121010114,60020.0,2015.0
511,13121010114,54257.0,2016.0
512,13121010114,66186.0,2017.0
513,13121011800,20638.0,2010.0
514,13121011800,20947.0,2011.0
515,13121011800,16250.0,2012.0
516,13121011800,13056.0,2013.0
517,13121011800,9335.0,2014.0
518,13121011800,10000.0,2015.0
519,13121011800,14068.0,2016.0
520,13121011800,16087.0,2017.0
521,13089020600,43996.0,2010.0
522,13089020600,37432.0,2011.0
523,13089020600,39634.0,2012.0
524,13089020600,39718.0,2013.0
525,13089020600,38661.0,2014.0
526,13089020600,38452.0,2015.0
527,13089020600,36908.0,2016.0
528,13089020600,43295.0,2017.0
529,13089020400,78015.0,2010.0
530,13089020400,81814.0,2011.0
531,13089020400,82038.0,2012.0
532,13089020400,83378.0,2013.0
533,13089020400,83720.0,2014.0
534,13089020400,78897.0,2015.0
535,13089020400,77000.0,2016.0
536,13089020400,78681.0,2017.0
537,13089020500,49679.0,2010.0
538,13089020500,38952.0,2011.0
539,13089020500,39096.0,2012.0
540,13089020500,39282.0,2013.0
541,13089020500,45760.0,2014.0
542,13089020500,41758.0,2015.0
543,13089020500,44960.0,2016.0
544,13089020500,55208.0,2017.0
545,13089020801,62250.0,2010.0
546,13089020801,62614.0,2011.0
547,13089020801,64785.0,2012.0
548,13089020801,70556.0,2013.0
549,13089020801,67005.0,2014.0
550,13089020801,75956.0,2015.0
551,13089020801,80625.0,2016.0
552,13089020801,92594.0,2017.0
553,13089020900,37471.0,2010.0
554,13089020900,47045.0,2011.0
555,13089020900,38333.0,2012.0
556,13089020900,37242.0,2013.0
557,13089020900,46161.0,2014.0
558,13089020900,48535.0,2015.0
559,13089020900,65008.0,2016.0
560,13089020900,66536.0,2017.0
561,13121001002,30250.0,2010.0
562,13121001002,31250.0,2011.0
563,13121001002,35625.0,2012.0
564,13121001002,24028.0,2013.0
565,13121001002,32961.0,2014.0
566,13121001002,30333.0,2015.0
567,13121001002,25882.0,2016.0
568,13121001002,27250.0,2017.0
569,13121000700,37232.0,2010.0
570,13121000700,61612.0,2011.0
571,13121000700,62643.0,2012.0
572,13121000700,63594.0,2013.0
573,13121000700,68631.0,2014.0
574,13121000700,71667.0,2015.0
575,13121000700,69722.0,2016.0
576,13121000700,71214.0,2017.0
577,13121008700,15893.0,2010.0
578,13121008700,19152.0,2011.0
579,13121008700,19310.0,2012.0
580,13121008700,21699.0,2013.0
581,13121008700,26279.0,2014.0
582,13121008700,26998.0,2015.0
583,13121008700,27395.0,2016.0
584,13121008700,29583.0,2017.0
585,13089020100,132917.0,2010.0
586,13089020100,136429.0,2011.0
587,13089020100,160662.0,2012.0
588,13089020100,159362.0,2013.0
589,13089020100,130385.0,2014.0
590,13089020100,153177.0,2015.0
591,13089020100,162500.0,2016.0
592,13089020100,174526.0,2017.0
593,13089020200,66838.0,2010.0
594,13089020200,67879.0,2011.0
595,13089020200,74113.0,2012.0
596,13089020200,79289.0,2013.0
597,13089020200,87500.0,2014.0
598,13089020200,102829.0,2015.0
599,13089020200,95809.0,2016.0
600,13089020200,87889.0,2017.0
601,13089020300,105000.0,2010.0
602,13089020300,99549.0,2011.0
603,13089020300,100506.0,2012.0
604,13089020300,104311.0,2013.0
605,13089020300,103722.0,2014.0
606,13089020300,101875.0,2015.0
607,13089020300,101923.0,2016.0
608,13089020300,113088.0,2017.0
609,13121006802,9449.0,2010.0
610,13121006802,7135.0,2011.0
611,13121006802,5764.0,2012.0
612,13121006802,7872.0,2013.0
613,13121006802,2499.0,2014.0
615,13121006802,6815.0,2016.0
616,13121006802,9815.0,2017.0
617,13121006900,46384.0,2010.0
618,13121006900,48571.0,2011.0
619,13121006900,46513.0,2012.0
620,13121006900,48482.0,2013.0
621,13121006900,44271.0,2014.0
622,13121006900,45565.0,2015.0
623,13121006900,51429.0,2016.0
624,13121006900,71359.0,2017.0
625,13121007001,34123.0,2010.0
626,13121007001,34013.0,2011.0
627,13121007001,35202.0,2012.0
628,13121007001,26157.0,2013.0
629,13121007001,25441.0,2014.0
630,13121007001,21587.0,2015.0
631,13121007001,19939.0,2016.0
632,13121007001,26436.0,2017.0
633,13121007602,46278.0,2010.0
634,13121007602,39682.0,2011.0
635,13121007602,37780.0,2012.0
636,13121007602,32893.0,2013.0
637,13121007602,35446.0,2014.0
638,13121007602,31108.0,2015.0
639,13121007602,31951.0,2016.0
640,13121007602,34136.0,2017.0
641,13121007802,55913.0,2010.0
642,13121007802,57262.0,2011.0
643,13121007802,54602.0,2012.0
644,13121007802,46116.0,2013.0
645,13121007802,46056.0,2014.0
646,13121007802,48877.0,2015.0
647,13121007802,46917.0,2016.0
648,13121007802,44932.0,2017.0
649,13121002300,20350.0,2010.0
650,13121002300,19529.0,2011.0
651,13121002300,16034.0,2012.0
652,13121002300,19840.0,2013.0
653,13121002300,21486.0,2014.0
654,13121002300,23088.0,2015.0
655,13121002300,26793.0,2016.0
656,13121002300,27674.0,2017.0
657,13121002100,26438.0,2010.0
658,13121002100,30662.0,2011.0
659,13121002100,27447.0,2012.0
660,13121002100,35250.0,2013.0
661,13121002100,32279.0,2014.0
662,13121002100,37627.0,2015.0
663,13121002100,38068.0,2016.0
664,13121002100,51250.0,2017.0
665,13121007806,32013.0,2010.0
666,13121007806,35027.0,2011.0
667,13121007806,34706.0,2012.0
668,13121007806,31886.0,2013.0
669,13121007806,31552.0,2014.0
670,13121007806,28333.0,2015.0
671,13121007806,27174.0,2016.0
672,13121007806,31192.0,2017.0
673,13121007805,31421.0,2010.0
674,13121007805,33728.0,2011.0
675,13121007805,32159.0,2012.0
676,13121007805,37857.0,2013.0
677,13121007805,32401.0,2014.0
678,13121007805,31797.0,2015.0
679,13121007805,29253.0,2016.0
680,13121007805,33255.0,2017.0
681,13121002800,11706.0,2010.0
682,13121002800,16500.0,2011.0
683,13121002800,17426.0,2012.0
684,13121002800,15172.0,2013.0
685,13121002800,20915.0,2014.0
686,13121002800,21938.0,2015.0
687,13121002800,21851.0,2016.0
688,13121002800,26059.0,2017.0
689,13121002600,27891.0,2010.0
690,13121002600,31434.0,2011.0
691,13121002600,30991.0,2012.0
692,13121002600,30458.0,2013.0
693,13121002600,30118.0,2014.0
694,13121002600,30046.0,2015.0
695,13121002600,23598.0,2016.0
696,13121002600,26350.0,2017.0
697,13121003000,76714.0,2010.0
698,13121003000,72875.0,2011.0
699,13121003000,86394.0,2012.0
700,13121003000,71875.0,2013.0
701,13121003000,86103.0,2014.0
702,13121003000,83576.0,2015.0
703,13121003000,89029.0,2016.0
704,13121003000,94079.0,2017.0
705,13121002400,29117.0,2010.0
706,13121002400,27566.0,2011.0
707,13121002400,24814.0,2012.0
708,13121002400,30500.0,2013.0
709,13121002400,29451.0,2014.0
710,13121002400,31271.0,2015.0
711,13121002400,30000.0,2016.0
712,13121002400,30972.0,2017.0
713,13121003200,56071.0,2010.0
714,13121003200,51891.0,2011.0
715,13121003200,51020.0,2012.0
716,13121003200,48699.0,2013.0
717,13121003200,52770.0,2014.0
718,13121003200,65168.0,2015.0
719,13121003200,70000.0,2016.0
720,13121003200,84350.0,2017.0
721,13121003100,39688.0,2010.0
722,13121003100,44375.0,2011.0
723,13121003100,45265.0,2012.0
724,13121003100,47941.0,2013.0
725,13121003100,47843.0,2014.0
726,13121003100,45000.0,2015.0
727,13121003100,43170.0,2016.0
728,13121003100,46467.0,2017.0
729,13121003500,52969.0,2010.0
730,13121003500,51218.0,2011.0
731,13121003500,54012.0,2012.0
732,13121003500,56190.0,2013.0
733,13121003500,53953.0,2014.0
734,13121003500,50850.0,2015.0
735,13121003500,53781.0,2016.0
736,13121003500,55585.0,2017.0
737,13121003800,23750.0,2010.0
738,13121003800,21250.0,2011.0
739,13121003800,21464.0,2012.0
740,13121003800,21932.0,2013.0
741,13121003800,21071.0,2014.0
742,13121003800,19904.0,2015.0
743,13121003800,22000.0,2016.0
744,13121003800,22150.0,2017.0
745,13121007808,16854.0,2010.0
746,13121007808,15571.0,2011.0
747,13121007808,13455.0,2012.0
748,13121007808,11438.0,2013.0
749,13121007808,11440.0,2014.0
750,13121007808,11766.0,2015.0
751,13121007808,11715.0,2016.0
752,13121007808,12266.0,2017.0
753,13121008000,39549.0,2010.0
754,13121008000,39153.0,2011.0
755,13121008000,41140.0,2012.0
756,13121008000,40517.0,2013.0
757,13121008000,38056.0,2014.0
758,13121008000,39531.0,2015.0
759,13121008000,40685.0,2016.0
760,13121008000,41450.0,2017.0
761,13121007807,15933.0,2010.0
762,13121007807,16333.0,2011.0
763,13121007807,17002.0,2012.0
764,13121007807,17466.0,2013.0
765,13121007807,17324.0,2014.0
766,13121007807,20775.0,2015.0
767,13121007807,18841.0,2016.0
768,13121007807,21912.0,2017.0
769,13121007900,55578.0,2010.0
770,13121007900,58677.0,2011.0
771,13121007900,59724.0,2012.0
772,13121007900,57784.0,2013.0
773,13121007900,58750.0,2014.0
774,13121007900,52181.0,2015.0
775,13121007900,56085.0,2016.0
776,13121007900,54467.0,2017.0
777,13121008201,37262.0,2010.0
778,13121008201,33438.0,2011.0
779,13121008201,29575.0,2012.0
780,13121008201,27490.0,2013.0
781,13121008201,27001.0,2014.0
782,13121008201,26705.0,2015.0
783,13121008201,28745.0,2016.0
784,13121008201,31037.0,2017.0
785,13121008102,25936.0,2010.0
786,13121008102,24872.0,2011.0
787,13121008102,21075.0,2012.0
788,13121008102,23577.0,2013.0
789,13121008102,23032.0,2014.0
790,13121008102,21192.0,2015.0
791,13121008102,22673.0,2016.0
792,13121008102,24940.0,2017.0
793,13121004800,10636.0,2010.0
794,13121004800,10880.0,2011.0
795,13121004800,11222.0,2012.0
796,13121004800,10785.0,2013.0
797,13121004800,11199.0,2014.0
